name,address,founded,description,classification
Conception I Technology,"426 Shivalik Shilp, Iskon cross road, ahmedabad, Gujrat, India 380015",2014,"We are Conception I Technology. The worlds fastest growing Mobile Application and Website development Company. Conception I provide support for projects from pre-concept to ongoing strategic promotion and evaluation. We pride ourselves on working with cutting edge technologies. Our work includes: Android, iPhone, Flutter, React native, React JS, Node JS, JAVA Spring boot PHP, Magento, SQL Server, PhotoShop, HTML, XML etc. More than 97% of Conception I clients reward the company’s delivery model, reliability, passion, creativity, and unique ability to handle the broadest range of their Mobile needs by continually extending their partnerships with Conception I. We are a young, creative and passionate TEAM !!! To know more about us get in touch Today.Ashok Dudhat",Technology
Olive Concepts,"410 Royal Square Nr Kapodra Utaran Bridge, Utaran - Surat 394105 ",2010,"Olive Concepts is a web development company established in 2010. We provide end-to-end solutions in Web applications, Mobile apps, and Web Design. We work with organizations and agencies to accomplish their vision and assist them to grow with our solutions. We specialize in WordPress, Shopify, and Magento web development.We are a team of 24+ professionals comprising creative designers, web developers, programmers, and project managers. Our mission to create professional & versatile themes, plugins & extensions for WordPress And Shopify eCommerce. Some of our clients include Canada, USA, UK, Australia, Germany, and many other countries. Ashok Dudhat",Technology
Bizongo,"3rd Floor, Gala no 04, Krislon House, Saki Vihar Road, Sakinaka, Andheri(E), Mumbai  Maharashtra, 400072",2015,"Bizongo is India’s largest tech-first B2B platform for unbranded goods. It combines technology, intelligence, and data analytics to provide Digital Vendor Management, Supply Chain Automation & Financing, and Packaging Design. The B2B SaaS has helped deliver more than 860 million packages using its proprietary digital platforms, such as Procure Live, Partner Hub, and Artwork Flow.Built using Java, React technologies and hosted on cloud infrastructure, Bizongo’s B2B platform is enabled with Robotic Process Automation, Data Intelligence for smart decisions and focuses on delivering digitalization, end to end visibility, and optimization of the entire supply chain driving reduction in cost and increase in efficiency.Bizongo services more than 110 enterprise customers in e-commerce, retail, FMCG, auto ancillary, pharmaceuticals, textiles, and apparel and has a network of 1100+ partner manufacturers. The technology firm also works with more than 15 financial institutions to provide supply chain finance to its partner manufacturers.Founded in 2015 by IIT graduates, Aniket Deb, Sachin Agrawal, and Ankit Tomar, Bizongo is headquartered in Mumbai with regional offices in Bengaluru and Gurugram.For more details visit https://www.bizongo.comAshok Dudhat",Technology
Ncode Technologies,"302, Shoppers Plaza - 4, Chimanlal Girdharlal Rd, opp. BSNL Office, Navrangpura, Ahmedabad, Gujarat 380009",2010,"NCode Technologies, Inc. is an eCommerce, Web and Mobile App Development Company specialized in Developing eCommerce Store or Website in Magento, Shopify, nopCommerce. We at NCode believe that customer is the king and so we never fail to serve our clients with the best of our abilities.The quality standards NCode technologies maintain with consistency has been certified with ISO 9001:2015.Ashok Dudhat",Technology
KD Web Solution,"23 Second Floor, Leonard Square, Yogi Chowk, Varachha, Surat, Gujarat 395006",2014,"KD Web Solution is one of the fastest growing IT company in Surat. We strive to deliver quality solutions by using technology and our 6+ Year experience. We specialize in providing truly memorable Responsive Website Design, Web Development, Mobile App Design, Ecommerce Solution, Domain Register, Web Hosting and Online Marketing Solutions..Ashok Dudhat",Technology
TemplateMela,"404, Trinity Business Park, near Madhuvan circle, L.P Savani Road, Adajan, Surat- 395009",2008,"TemplateMela is a subsidiary company of Megnor Computer Private Limited, established since 2008 at Surat, Gujarat. We are a leading IT Company with 12 years of great experience and excellence in quality work, aim to help professional web designers and developers to build their websites easily and quickly. We build premium themes to create impressive, SEO Optimized, secure and fast websites. We had also started our service in the field of mobile application development and also successively exploring our limits in the field of designing and developement with the highly ambitious and talented team of developers. Ashok Dudhat",Information Technology
Hire Tech Talent,"Berlin, DE",2021,Access Thousands of Tech OpportunitiesHire Tech Talent is Europe’s developer-focused job platform. Create a profile and let companies apply to you.Ashok Dudhat,Technology
VirtualInfocom,"Solace Plaza, HB Town Sodepur Road -7,   West Agarpara, 24 Pgs north",1998,"Established in 1998, Virtualinfocom is known for many innovations in IT solution , Animation, Game Development, Virtual Reality, Augmented Reality, IOT, Blockchain solutions, Machin Learning solutions, Simulation, Mobile Applications , iPhone apps , Android Games, Mobile Gaming and ad promotion, Ad-commercials, Short films, Comics Design , Corporate Films, Animated Movies, Music Videos, Visual/Special Effects, Software Development, Digital Marketing Solution, Industrial Design , OTT Movies Tools under one roof. It all started with a dream. A dream to “Bring Art and Technology Together Successfully”, in a way that would allow the world to reap the benefits of creativity armed with Information technology.That dream shaped Virtualinfocom.India’s one of the first game studio since 1998 with global office in in Dubai, Australia, India, South Africa and USA.Ashok Dudhat",Technology
Zerto,"שנקר 15, גב ים 6, קומה L2, הרצליה פיתוח",11,"Zerto’s vision is to create a world of uninterrupted technology where organizations across all industries can operate without downtime or disruptions.From 24/7 continuous patient care in hospitals, to interruption free airline travel, and keeping ecommerce systems running without a hitch, the path to this always-available world starts with Zerto.We help our 8000+ customers realize this vision though our IT Resilience Platform™, which brings disaster recovery and data protection together into a single, simple management solution across on-premises, hybrid, and multi-cloud environments.Zerto Engineering mission is to fulfill our vision by pushing the boundaries of what’s possible and constantly solving unsolved problems. We work in small independent and autonomous teams, each focusing on a different area of the Zerto solution. All these pieces come together to construct Zerto’s industry leading IT Resilience Platform.Ashok Dudhat",Technology
AQT GmbH,"Alpine Quantum Technologies GmbH, Technikerstraße 17, 6020 Innsbruck, Austria",2018,"AQT is a quantum computer hardware startup located in one of the most beautiful places in the Alps, in Innsbruck. Building on decades of experimental and theoretical expertise in the field of quantum information processing, our goal at AQT is to get quantum technologies out of the laboratory environment and turn them into everyday products. The long-term goal is a quantum computer based on trapped ions, that is installed in normal IT infrastructure and can be readily operated from any PC or laptop.Ashok Dudhat",Technology
Airmeet,"Airmeet Inc c/o Fernway Solutions Inc. 34 Tidal Way, San Mateo, CA 94401",2019,"Airmeet is an all-in-one virtual events platform made for organizations, institutions and creators to host interactive and highly engaging virtual events, conferences, meetups and workshops with a redefined networking experience. It offers the audience an exclusive lounge to meet and build meaningful connections virtually.Networking on Airmeet takes place in a virtual ‘ballroom’ with customizable tables and seating arrangements to deliver an engaging experience and highly relevant interactions among the participants.Ashok Dudhat",Technology
TTTech Computertechnik AG,"Schönbrunner Strasse 7, 1040 Vienna",1998,"The people who join us change our company – The products we build together change the worldWe actively research and develop innovative technologies for tomorrow. The TTTech Group companies, together with their customers and partners, do pioneering work for megatrends such as autonomous driving or Industry 4.0. Whether in the air, on the ground, or in space: We network, automate and connect. To make this possible, we develop network platforms and controls to the highest safety standards.To turn our innovative ideas into a reality, we are searching for team players who want to work together with us to advance our customers’ goals. Our expanding companies offer a dynamic and diverse work environment in the fields of software, hardware, and chip development, and in central company services functions. Diversity is a key driver of innovation in every respect: Our TTTech family brings together people from over 60 nations, who collaborate on unique projects with renowned customers and partners all over the world.Over 2.300 employees from more than 60 nations work in 14 countries for TTTech Group companies, ensuring close proximity to its international customer base as well as to its valued partners around the globe.Ashok Dudhat",Technology
The Virtual Forge,"Av. 24 de Julho, 4 4º Esq. 1200-480 Lisboa - Portugal",2010,"We are a global software company focused on development & UX, data and cloud services.Based in the UK, Portugal and North America, we provide cost-effective, end-to-end technology services for companies of all shapes and sizes, all over the world. We are driven by innovation. We lead with UX-centric design. If you work with us, we’ll equip you with the most advanced technology available to meet the changing needs of your business.Now, tomorrow, and for the long-term.Ashok Dudhat",Technology
NETCONOMY GmbH,"Bahnhofgürtel 77-79 / 7, A-8020 Graz, Österreich",2000,"As a leading expert for Digital Platform Building and Customer Experience Innovation, NETCONOMY is shaping the digital leadership of its clients. We help brands to build flexible and scalable digital platforms, with top-notch technologies by SAP, Google Cloud, and Microsoft Azure. NETCONOMY has 20 years of experience and employs close to 500 professionals across Europe. By introducing and driving innovation initiatives around customer experience, we support clients on the road to expanding their core business in the digital world.Ashok Dudhat",Technology
MXC Foundation,"Brückenstraße 4,10179 Berlin",2018,"The MXC Foundation is the next generation IoT token. Using the sophisticated MXProtocol, MXC is uniquely connecting wireless IoT sensors with permissionless blockchains. Built via a lightning fast, fully functional LPWAN Data Exchange, MXC supports billions of Device Data Transmissions Daily with a key focus on user adaptation and integration. Creating an unparalleled IoT LPWAN network, they’re allowing for more frequent, efficient and long-range data transmissions. MXC is setting the Global IoT Standard for Individuals, Businesses and Smart Cities. Using the unique Smart Bidding platform MXC enables a brand new Shared Economy based on big data, ensuring MXC is a token that focuses on true Blockchain integration, transforming the IoT industry and improving people’s lives. Ashok Dudhat",Technology
Onedot AG,"Rütistrasse 16,  8952 Schlieren",2014,"Onedot was founded in 2014 to make unstructured and messy product data easy consumable by applying self-developed artificial intelligence. We are a rapidly growing Swiss SaaS startup offering commerce and industry the first intelligent platform to source, onboard and distribute product data. Public companies with a global presence and rich history, as well as some of the fastest-growing e-commerce startups, are part of our expanding international customer base.At Onedot, you will embed yourself into a demanding but exceptionally inspiring environment with lots of room for personal growth. We are looking for colleagues who want to have a meaningful impact and shape our trendsetting product and company. High-quality work is rewarded with a steep learning curve, lots of autonomy, responsibility and swift decision-making. Become part of a multi-cultural and multi-faceted team led by the founders. Talented, curious and committed human beings from all over the globe are looking forward to your ideas and taking you onboard.Onedot designs and engineers proprietary machine learning algorithms, probabilistic/statistical methods and advanced text understanding because existing approaches do not go far enough. Our technology achieves human-like performance and has already been trained with over 100 million different products. Onedot is a startup backed by well-known international venture capital firms and world class entrepreneurs.Ashok Dudhat",Technology
WP Event Manager,"Chausseestr 40, 10115 Berlin",2017,"WP Event Manager is a lightweight, open source, scalable and full featured event management plugin for adding event listing functionality to your WordPress site.Ashok Dudhat",Software
SitEinander,"SitEinander Anna-Lena Gerber, Charlottenstraße 2, 10969 Berlin, Germany",2018,"SitEinander is an app that allows parents to connect digitally to each other to support and organize childcare, according to the motto:“I am singing for you and  you are sitter for me. ”Instead of paying for babysitting, parents simply help each other and the app helps. With only one request, you can reach all potential sitter from his parents and thus quickly find a care. Instead of money, virtual SitPoints are exchanged for taken care of: thus, the exchange remains fair, parents remain motivated to participate in the care and the bad conscience deleted. Additionally, parents can use the SitEinander app to discover new families in the neighborhood.Ashok Dudhat",Technology
Naboto,"Naboto Software GmbH  Trazerberggasse 79,  A-1130 Wien",2015,"Naboto is a new type of waiting list and appointment booking tool that completely adapts to your way of working. Appointments are made intelligently according to your preferences, whether you’re looking for more revenue, less stress from waiting patients, or home on certain days – Naboto automatically optimizes your schedule. So you have more time again for what is really important to work with your patients.Ashok Dudhat",Software
The Qt Company,"Rudower Chaussee 13, 12489 Berlin, Germany",1995,"The Qt Group (Nasdaq Helsinki: QTCOM) is a global software company with a strong presence in more than 70 industries and is the leading independent technology behind millions of devices and applications. Qt is used by major global companies and developers worldwide, and the technology enables its customers to deliver exceptional user experiences and advance their digital transformation initiatives. Qt achieves this through its cross-platform software framework for the development of apps and devices, under both commercial and open source licenses.Ashok Dudhat",Software
4scotty,"4scotty GmbH, Torstraße 131, D-10119 Berlin, Germany.",2014,"4scotty is Germany’s leading reverse application marketplace for tech professionals. Companies compete for IT talents. Software developers, product managers and UI experts can be directly invited with transparent job offers. Companies get direct access to top tech professionals. No boring job ads, unsuitable job offers and meaningless interviews anymore. Ashok Dudhat",Technology
NetApp,"Kurfürstendamm 21, Floor 7, Office 704-707, Berlin 10719, Germany.",1992,"NetApp is the data authority for hybrid cloud. We provide a full range of hybrid cloud data services that simplify management of applications and data across cloud and on-premises environments to accelerate digital transformation. Together with our partners, we empower global organizations to unleash the full potential of their data to expand customer touchpoints, foster greater innovation and optimize their operations. Ashok Dudhat",Technology
Expert Lead,"Charlottenstr 4, 10969 Berlin, Germany.",2018,"Expertlead is a B2B matching platform for top tech freelancers: software developers, product/ project managers, data scientists, and designers. We only admit the top 5% applicants of our thorough screening process – incl. coding tests, live coding -, and support our customers on complex, digital implementation projects. Ashok Dudhat",Technology
Google,"Mountain View,  CA",1998,"Google is a multinational corporation that is specialized in internet-related services and products. The company’s product portfolio includes Google Search, which provides users with access to information online; Knowledge Graph that allows users to search for things, people, or places as well as builds systems recognizing speech and understanding natural language; Google Now, which provides information to users when they need it; Product Listing Ads that offer product image, price, and merchant information;  AdWords, an auction-based advertising program; AdSense, which enables websites that are part of the Google Network to deliver ads; Google Display, a display advertising network; DoubleClick Ad Exchange, a marketplace for the trading display ad space; and YouTube that offers video, interactive, and other ad formats.Google was founded by Larry Page and Sergey Brin in 1996 while they were Ph.D. students at Stanford University.Ashok Dudhat",Technology
Vmware,"Willy-Brandt-Platz 2,  81829 München,  Germany ",1998,"VMware is a global leader in cloud infrastructure and business mobilityOur technologies simplify IT complexity and streamline operations, helping businesses become more agile, efficient and profitable. By virtualizing infrastructure—from the data center to the cloud to mobile devices—we enable IT to deliver services from any device, anytime, anywhere.At VMware, our people transform the impossible into the essential. We challenge the status quo by inventing better ways of doing things. Our culture is one of possibilities. Where everyone is empowered to achieve success on their own terms. And together, we are shaping the future of business in a digital world.Ashok Dudhat",Software
Clincase,"Novalisstrasse 10,  10115 Berlin,  Germany.",2004,"We are Clincase, one of Europe’s leading electronic data capture (EDC) software companies. All the key e-Clinical Technology components integrated into one elegant solution.Ashok Dudhat",Software
Mila,"Belziger Straße 33,  DE-10823 Berlin,  Germany.",2013,"Mila is a crowd service platform. On Mila.com, users can find, book, and rate tech-savvy people or offer their technical know-how. Some businesses use Mila to build a service community around their products and services, while others expand their service offerings using a crowd consisting of vetted individuals (Mila Friends) and professional service providers (Mila Pros).Ashok Dudhat",Technology
Honeypot GmbH,"Schlesische Straße 26,  Berlin, Germany.",2015,"Honeypot is Europe’s leading tech job platform, on a mission to build great engineering teams. On Honeypot, you state your job preferences upfront and companies apply to you. We believe you should choose a job you love: whether that’s based on a cutting-edge tech stack, an inspiring team or just good old-fashioned salary.In our world, that means no more spam and empty promises from headhunters, no more sending the same application to multiple companies – just one profile and a chance to receive offers related to your job preferences directly from companies.Ashok Dudhat",Technology
Uberall,"Hussitenstraße 32-33,  13355 Berlin, Germany.",2012,"As a global leader, uberall powers sales through location data, using the innovative Location Marketing Cloud. We enable companies to manage multi-site information in a centralized tool, enriching and securing data in a global range of directories, maps, social networks and navigation services, providing maximal findability for their stores, and enabling businesses to interact with their customers, wherever the business is mentioned online. Our products, Engage, Listings and Locator empower businesses to transform online interactions into offline sales, all over the world. Furthermore, the software provides the ability to capture user feedback such as ratings and comments on individual sites and to engage consumers directly.Ashok Dudhat",Software
ReactGeeks,"Rheinsberger Str. 76/77,  10115 Berlin.",2017,"ReactGeeks is a React first agency fully focused on building web and mobile apps in React.js and React Native. Focused on building JavaScript apps using React.js, React Native and Node.js at a highly productive and cost-efficient way!. Ashok Dudhat",Technology
Zoi GmbH,"Zoi TechCon GmbH,  Quellenstrasse 7,  70376 Stuttgart,  GERMANY.",2017,"Zero One Infinity, or short Zoi, is at the heart of IT and equally describes the drive and mission of our work. For us, there is no standstill. We want to find unique solutions in the infinite world of cloud computing, without compromise. Self-determined and independent. As an internationally active team, we offer this to our medium-sized and global customers. We find and implement agile and sophisticated code solutions, combining the best of enterprise IT and cloud computing. Zoi, these are smart people with a background in computer science and business but also mathematics, biology or physics. Our synergetic team has, despite the recent incorporation of the company, a lot of history and experience.Ashok Dudhat",Technology
